Freq.	V(vout)
4.19886673449233e-02	1.32291549737812e-02,1.49898528622359e-01
4.22807216224558e-02	1.34125146503463e-02,1.50925622972278e-01
4.25748072981350e-02	1.35983972998907e-02,1.51959538076747e-01
4.28709385014524e-02	1.37868371230956e-02,1.53000314694609e-01
4.31691294601777e-02	1.39778687698961e-02,1.54047993731570e-01
4.34693945010430e-02	1.41715273449805e-02,1.55102616238484e-01
4.37717480504302e-02	1.43678484133449e-02,1.56164223409570e-01
4.40762046350651e-02	1.45668680059043e-02,1.57232856580562e-01
4.43827788827145e-02	1.47686226251602e-02,1.58308557226792e-01
4.46914855228895e-02	1.49731492509246e-02,1.59391366961202e-01
4.50023393875531e-02	1.51804853461000e-02,1.60481327532292e-01
4.53153554118326e-02	1.53906688625175e-02,1.61578480821983e-01
4.56305486347377e-02	1.56037382468313e-02,1.62682868843420e-01
4.59479341998821e-02	1.58197324464702e-02,1.63794533738687e-01
4.62675273562122e-02	1.60386909156470e-02,1.64913517776458e-01
4.65893434587390e-02	1.62606536214250e-02,1.66039863349558e-01
4.69133979692759e-02	1.64856610498420e-02,1.67173612972448e-01
4.72397064571820e-02	1.67137542120927e-02,1.68314809278632e-01
4.75682846001096e-02	1.69449746507679e-02,1.69463495017974e-01
4.78991481847579e-02	1.71793644461518e-02,1.70619713053931e-01
4.82323131076312e-02	1.74169662225779e-02,1.71783506360704e-01
4.85677953758027e-02	1.76578231548417e-02,1.72954918020294e-01
4.89056111076836e-02	1.79019789746717e-02,1.74133991219467e-01
4.92457765337975e-02	1.81494779772587e-02,1.75320769246636e-01
4.95883079975603e-02	1.84003650278424e-02,1.76515295488632e-01
4.99332219560653e-02	1.86546855683556e-02,1.77717613427398e-01
5.02805349808740e-02	1.89124856241267e-02,1.78927766636566e-01
5.06302637588120e-02	1.91738118106395e-02,1.80145798777947e-01
5.09824250927713e-02	1.94387113403503e-02,1.81371753597915e-01
5.13370359025170e-02	1.97072320295625e-02,1.82605674923682e-01
5.16941132255006e-02	1.99794223053581e-02,1.83847606659473e-01
5.20536742176782e-02	2.02553312125863e-02,1.85097592782591e-01
5.24157361543354e-02	2.05350084209090e-02,1.86355677339368e-01
5.27803164309167e-02	2.08185042319019e-02,1.87621904441006e-01
5.31474325638614e-02	2.11058695862130e-02,1.88896318259302e-01
5.35171021914454e-02	2.13971560707753e-02,1.90178963022261e-01
5.38893430746286e-02	2.16924159260769e-02,1.91469883009579e-01
5.42641730979078e-02	2.19917020534840e-02,1.92769122548014e-01
5.46416102701768e-02	2.22950680226204e-02,1.94076726006628e-01
5.50216727255907e-02	2.26025680788003e-02,1.95392737791903e-01
5.54043787244380e-02	2.29142571505149e-02,1.96717202342732e-01
5.57897466540172e-02	2.32301908569719e-02,1.98050164125273e-01
5.61777950295209e-02	2.35504255156888e-02,1.99391667627673e-01
5.65685424949248e-02	2.38750181501365e-02,2.00741757354658e-01
5.69620078238839e-02	2.42040264974357e-02,2.02100477821975e-01
5.73582099206341e-02	2.45375090161033e-02,2.03467873550704e-01
5.77571678209009e-02	2.48755248938489e-02,2.04843989061422e-01
5.81589006928135e-02	2.52181340554205e-02,2.06228868868215e-01
5.85634278378261e-02	2.55653971704987e-02,2.07622557472549e-01
